CK_SIF;CK_PRII;CK_IME;CK_ULIC;CK_POST;CK_KRAJ;CK_PODR;CK_TEL1;CK_TEL2;CK_TEL3;CK_EMAIL;CK_EMAILIN;CK_ROJD;CK_LETNIK;CK_SPOL;CK_IZOB;CK_REKL;CK_DAV;CK_POS;CK_GESL;CK_DSPR;CK_USPR;CK_OPOM;CK_KOMEN;CK_UPOR;CK_INTRS;CK_EANST;CK_ZAUP13;CK_ZAUPAKT;CK_IZPIS;CK_IZPDAT;CK_POD
5;GRACIELA;RUTA;98 CONNECTICUT AVE NW;40305;Nedelišće                ;20;440-780-8425;;                ;GRUTA@COX.NET; ;2/26/1962;0;2; ;D;                    ;      ;               ;9/15/2009;centrala cro   ;                                                            ;0;                                        ;X        ;0;2008001001888; ; ;;CRO
6;CAMMY;ALBARES;56 E MOREHEAD ST;40322;Orehovica                ;20;956-537-6195;;                ;CALBARES@GMAIL.COM;D;10/6/1974;0;2; ;D;                    ;      ;               ;9/15/2009;centrala cro   ;                                                            ;0;                                        ;X        ;0;2008001001895; ; ;;CRO
7;MATTIE;POQUETTE;73 STATE ROAD 434 E;43500;Daruvar                  ;20;602-277-4385;;                ;MATTIE@AOL.COM; ;10/14/1955;0;2; ;D;                    ;      ;               ;9/18/2009;centrala cro   ;                                                            ;0;                                        ;X        ;0;2008001001901; ; ;;CRO
8;MEAGHAN;GARUFI;69734 E CARRILLO ST;34000;Požega                   ;20;931-313-9635;;                ;MEAGHAN@HOTMAIL.COM; ;5/27/1942;0;1; ;N;                    ;      ;               ;9/21/2009;centrala cro   ;                                                            ;0;                                        ; X       ;0;2008001001918; ; ;;CRO
9;GLADYS;RIM;322 NEW HORIZON BLVD;34322;Brestovac                ;20;414-661-9598;;                ;GLADYS.RIM@RIM.ORG; ;10/11/1955;0;2; ;N;                    ;      ;               ;9/21/2009;centrala cro   ;                                                            ;0;                                        ;X        ;0;2008001001925; ; ;;CRO
1;YUKI;WHOBREY;1 STATE ROUTE 27;4226;ŽIRI                     ;10;313-288-7937;;                ;YUKI_WHOBREY@AOL.COM;N;10/27/1953;1953;2;3;N;79409024;99;               ;8/23/2018;NIVES M.       ;                                                            ;0;                                        ;X        ;0;2008001001932; ; ;;SLO
2;FLETCHER;FLOSI;394 MANCHESTER BLVD;4226;ŽIRI                     ;10;815-828-2147;;                ;FLETCHER.FLOSI@YAHOO.COM;D;8/11/1961;1961;2;6;D;90899989;99;               ;11/29/2018;LUKA           ;                                                            ;0;                                        ;X        ;0;2008001001949; ; ;;SLO
3;BETTE;NICKA;6 S 33RD ST;4226;ŽIRI                     ;10;610-545-3615;;                ;BETTE_NICKA@COX.NET;N;10/6/1966;1966;2;1;N;90773497;99;               ;9/6/2018;Avtomatika     ;                                                            ;0;                                        ;X        ;0;2008001001956; ; ;;SLO
4;VERONIKA;INOUYE;6 GREENLEAF AVE;4226;ŽIRI                     ;10;408-540-1785;;                ;VINOUYE@AOL.COM;N;4/5/1956;1956;1;1;N;88137627;99;               ;5/13/2021;Avtomatika     ;                                                            ;0;                                        ; X       ;0;2008001001963; ; ;;SLO
5;WILLARD;KOLMETZ;618 W YAKIMA AVE;1373;ROVTE                    ;10;972-303-9197;;                ;WILLARD@HOTMAIL.COM;N;6/8/1958;1958;2;4;N;89373731;99;               ;8/23/2018;Avtomatika     ;                                                            ;0;                                        ;X        ;0;2008001001970; ; ;;SLO
6;MARYANN;ROYSTER;74 S WESTGATE ST;3000;CELJE                    ;10;518-966-7987;;                ;MROYSTER@ROYSTER.COM;N;12/4/1978;1978;2;4;N;54049113;99;               ;4/6/2021;NIVES M.       ;                                                            ;0;                                        ;X        ;0;2008001001987; ; ;;SLO
7;ALISHA;SLUSARSKI;3273 STATE ST;4226;ŽIRI                     ;10;732-658-3154;;                ;ALISHA@SLUSARSKI.COM;N;10/6/1972;1972;1;4;N;76123464;99;               ;4/11/2008;NIVES M.       ;                                                            ;0;                                        ;X        ;0;2008001001994; ; ;;SLO
8;ALLENE;ITURBIDE;1 CENTRAL AVE;4226;ŽIRI                     ;10;715-662-6764;;                ;ALLENE_ITURBIDE@COX.NET;N;2/27/1959;1959;1;4;N;50099515;99;               ;10/6/2017;NIVES M.       ;                                                            ;0;                                        ; X       ;0;2008001002007; ; ;;SLO
9;CHANEL;CAUDY;86 NW 66TH ST #8673;1373;ROVTE                    ;10;913-388-2079;;                ;CHANEL.CAUDY@CAUDY.ORG;N;5/3/1963;1963;2;4;D;49114816;99;               ;5/5/2010;NIVES M.       ;                                                            ;0;                                        ;X        ;0;2008001002014; ; ;;SLO
1;EZEKIEL;CHUI;2 CEDAR AVE #84;95111;NOVI BEOGRAD             ;30;410-669-1642;;                ;EZEKIEL@CHUI.COM;D;;0;2; ;N;                    ;      ;               ;1/16/2019;INTERNET       ;alpinashop 1                                                ;0;                                        ;         ;0;2008001002021; ; ;;SRB
2;WILLOW;KUSKO;90991 THORBURN AVE;57105;ZEMUN                    ;30;212-582-4976;;                ;WKUSKO@YAHOO.COM;D;;0;1; ;N;                    ;      ;               ;2/25/2019;INTERNET       ;alpinashop 3                                                ;0;                                        ;         ;0;2008001002038; ; ;;SRB
3;BERNARDO;FIGEROA;386 9TH AVE N;21224;ZEMUN                    ;30;936-336-3951;;                ;BFIGEROA@AOL.COM;D;3/7/1966;0; ; ;D;                    ;      ;               ;3/1/2019;INTERNET       ;                                                            ;0;                                        ;         ;0;2008001002045; ; ;;SRB
4;AMMIE;CORRIO;74874 ATLANTIC AVE;19443;ZEMUN                    ;30;614-801-9788;;                ;AMMIE@CORRIO.COM;D;6/6/1979;0; ; ;D;                    ;      ;               ;3/1/2019;INTERNET       ;                                                            ;0;                                        ;         ;0;2008001002052; ; ;;SRB
5;FRANCINE;VOCELKA;366 SOUTH DR;11953;ZEMUN                    ;30;505-977-3911;;                ;FRANCINE_VOCELKA@VOCELKA.COM;D;6/8/1981;0; ; ;D;                    ;      ;               ;3/1/2019;INTERNET       ;                                                            ;0;                                        ;         ;0;2008001002069; ; ;;SRB
6;ERNIE;STENSETH;45 E LIBERTY ST;90034;NOVI BEOGRAD             ;30;201-709-6245;;                ;ERNIE_STENSETH@AOL.COM;D;11/1/1984;0; ; ;D;                    ;      ;               ;3/1/2019;INTERNET       ;                                                            ;0;                                        ;         ;0;2008001002076; ; ;;SRB
7;ALBINA;GLICK;4 RALPH CT;44023;BEOGRAD                  ;30;732-924-7882;;                ;ALBINA@GLICK.COM;D;3/1/2019;0; ; ;D;                    ;      ;               ;3/1/2019;INTERNET       ;                                                            ;0;                                        ;         ;0;2008001002083; ; ;;SRB
8;ALISHIA;SERGI;2742 DISTRIBUTION WAY;78045;BEOGRAD                  ;30;212-860-1579;;                ;ASERGI@GMAIL.COM;D;8/27/1976;0; ; ;D;                    ;      ;               ;3/1/2019;INTERNET       ;                                                            ;0;                                        ;         ;0;2008001002090; ; ;;SRB
9;SOLANGE;SHINKO;426 WOLF ST;85013;BEOGRAD                  ;30;504-979-9175;;                ;SOLANGE@SHINKO.COM;D;7/22/1981;0; ; ;D;                    ;      ;               ;3/1/2019;INTERNET       ;                                                            ;0;                                        ;         ;0;2008001002106; ; ;;SRB
